time_step,timestamp,scheduler_mode,electricity_price,charging_cost_eur,cumulative_cost_eur,charging_energy_kwh,served_demand,unmet_demand,cumulative_unmet_demand,vehicle_availability,charger_utilization,average_soc,minimum_soc,waiting_vehicle_hours,llm_used,fallback_used
0,2025-01-01T00:00:00,nearest_available,50.0,1.47,1.47,29.392,3,0,0,0.5,1.0,0.495,0.18,6,False,False
1,2025-01-01T01:00:00,nearest_available,60.0,0.0,1.47,0.0,3,0,0,0.833,0.0,0.445,0.18,6,False,False
